text,sentiment,Time of Tweet,Age of User,Land Area (Km²),Continent,Density_Level,Population_Group
 Sooo SAD I will miss you here in San Diego!!!,negative,noon,21-30,27400.0,EU,Medium,Medium
my boss is bullying me...,negative,night,31-45,2381740.0,AF,Low,Medium
 what interview! leave me alone,negative,morning,46-60,470.0,EU,Medium,Low
" Sons of ****, why couldn`t they put them on the releases we already bought",negative,noon,60-70,1246700.0,AF,Low,Medium
2am feedings for the baby are fun when he is all smiles and coos,positive,morning,0-20,2736690.0,SA,Low,Medium
 Journey!? Wow... u just became cooler.  hehe... (is that possible!?),positive,morning,46-60,82400.0,EU,Medium,Medium
I really really like the song Love Story by Taylor Swift,positive,night,70-100,10010.0,NA,Low,Low
My Sharpie is running DANGERously low on ink,negative,morning,0-20,760.0,AS,High,Medium
i want to go to music tonight but i lost my voice.,negative,noon,21-30,130170.0,AS,High,High
"Uh oh, I am sunburned",negative,morning,46-60,202910.0,EU,Low,Medium
" S`ok, trying to plot alternatives as we speak *sigh*",negative,noon,60-70,30280.0,EU,Medium,Medium
"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",negative,night,70-100,22810.0,NA,Low,Low
is back home now      gonna miss every one,negative,morning,0-20,112760.0,AF,Medium,Medium
Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,positive,morning,46-60,51000.0,EU,Low,Medium
"the free fillin` app on my ipod is fun, im addicted",positive,noon,21-30,108560.0,EU,Low,Medium
  I`m sorry.,negative,night,31-45,273600.0,AF,Low,Medium
On the way to Malaysia...no internet access to Twit,negative,morning,46-60,25680.0,AF,Medium,Medium
juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,positive,noon,60-70,318000.0,AF,Low,Medium
Went to sleep and there is a power cut in Noida  Power back up not working too,negative,night,70-100,4030.0,AF,Medium,Low
I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,positive,morning,0-20,176520.0,AS,Low,Medium
i hope unni will make the audition . fighting dahye unni !,positive,noon,21-30,472710.0,AF,Low,Medium
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative,night,31-45,9093510.0,NA,Low,Medium
 That`s very funny.  Cute kids.,positive,morning,46-60,622980.0,AF,Low,Medium
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative,morning,0-20,9388211.0,AS,Medium,High
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative,night,31-45,1861.0,AF,Medium,Low
"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",positive,morning,46-60,342000.0,Other,Low,Medium
im an avid fan of **** magazine and i love your magazines,positive,night,70-100,55960.0,EU,Low,Medium
 I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.Ã¯Â¿Â½,positive,night,31-45,77240.0,Other,Medium,Medium
egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,negative,noon,60-70,42430.0,EU,Medium,Medium
"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",negative,morning,0-20,750.0,NA,Low,Low
 which case? I got a new one last week and I`m not thrilled at all with mine.,negative,noon,21-30,48300.0,NA,Medium,Medium
 it is ****...u have dissappointed me that past few days,negative,night,70-100,28050.0,AF,Low,Medium
 romance zero is funny,positive,morning,0-20,101000.0,AF,Low,Medium
Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,negative,night,31-45,17200.0,Other,Low,Medium
Aw. Torn ace of hearts  #Hunchback,negative,noon,60-70,18270.0,OC,Low,Low
"i lost all my friends, i`m alone and sleepy..i wanna go home",negative,morning,0-20,547557.0,EU,Medium,Medium
I give in to easily,negative,night,31-45,10120.0,AF,Medium,Medium
What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,positive,morning,46-60,69490.0,AS,Low,Medium
mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,negative,noon,60-70,348560.0,EU,Medium,Medium
  He`s awesome... Have you worked with him before? He`s a good friend.,positive,morning,0-20,128900.0,EU,Low,Medium
Chilliin,positive,night,31-45,107160.0,NA,Medium,Medium
 a celtics-lakers rematch sounds better don`t you think? lol,positive,night,70-100,196850.0,SA,Low,Low
"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",negative,noon,60-70,100250.0,EU,Low,Low
I am sooo tired,negative,morning,0-20,1811570.0,AS,Medium,High
 THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive,night,31-45,434320.0,AS,Low,Medium
 lucky kid...i so wanna see loserville  pity im in oz....,positive,morning,46-60,68890.0,EU,Low,Medium
Sick. With a flu like thing.,negative,night,70-100,294140.0,EU,Medium,Medium
"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",negative,morning,0-20,10830.0,NA,Medium,Medium
Happy Star Wars day everyone! and Enjoy the holiday (UK),positive,noon,21-30,364555.0,AS,Medium,High
i miss you bby      wish you were going tomorrow to make me do good.,negative,noon,60-70,569140.0,AF,Low,Medium
